HS2_RE2, wo_Imputation, 12, ['P02649', 'P02647', 'P00450', 'P01024', 'P01008', 'P02792', 'P02766', 'P04114', 'P68871', 'P04275', 'P06702', 'P02675']
HS2_RE2, w_Imputation, 13, ['P02792', 'P61626', 'P02675', 'P02766', 'P01024', 'P02649', 'P01008', 'P06702', 'P04114', 'P02647', 'P04275', 'P68871', 'P00450']
HS3RE_sub1, wo_Imputation, 13, ['P01024', 'P01008', 'P02792', 'P02766', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P27930', 'P04114']
HS3RE_sub1, w_Imputation, 15, ['P02792', 'P61626', 'P04275', 'P05186', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702']
HS4, wo_Imputation, 13, ['P01024', 'P01008', 'P02766', 'P12821', 'P02741', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114']
HS4, w_Imputation, 19, ['P02792', 'P61626', 'P04275', 'P05186', 'P12821', 'P02675', 'P01024', 'P02649', 'P04114', 'P02741', 'P02647', 'P68871', 'P27930', 'P01008', 'P03971', 'P00450', 'P02766', 'P06702', 'P55899']
HS5, wo_Imputation, 15, ['P01024', 'P01008', 'P02766', 'P02741', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P27930', 'P04114', 'P61626', 'P05186']
HS5, w_Imputation, 17, ['P02792', 'P61626', 'P04275', 'P05186', 'P12821', 'P02675', 'P01024', 'P02649', 'P04114', 'P02741', 'P02647', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702']
HS6, wo_Imputation, 13, ['P01024', 'P01008', 'P02766', 'P02741', 'P10912', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114']
HS6, w_Imputation, 15, ['P61626', 'P04275', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P02741', 'P68871', 'P27930', 'P01008', 'P10912', 'P00450', 'P02766', 'P06702']
HS7, wo_Imputation, 13, ['P01024', 'P01008', 'P02792', 'P02766', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114', 'P61626']
HS7, w_Imputation, 16, ['P02792', 'P61626', 'P04275', 'P05186', 'P12821', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702']
HS8, wo_Imputation, 11, ['P01024', 'P01008', 'P02766', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114', 'P05186']
HS8, w_Imputation, 16, ['P61626', 'P04275', 'P05186', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P02741', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702', 'P55899']
HS9, wo_Imputation, 12, ['P01024', 'P01008', 'P02792', 'P02766', 'P68871', 'P04275', 'P06702', 'P02649', 'P02647', 'P00450', 'P27930', 'P04114']
HS9, w_Imputation, 15, ['P02792', 'P04275', 'P12821', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P02741', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702']
HS10, wo_Imputation, 11, ['P01024', 'P01008', 'P02766', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114']
HS10, w_Imputation, 16, ['P02792', 'P61626', 'P04275', 'P02675', 'P01024', 'P02649', 'P04114', 'P02647', 'P02741', 'P68871', 'P27930', 'P01008', 'P00450', 'P02766', 'P06702', 'P55899']
HS11, wo_Imputation, 14, ['P01024', 'P01008', 'P02792', 'P02766', 'P02741', 'P68871', 'P04275', 'P06702', 'P02675', 'P02649', 'P02647', 'P00450', 'P04114', 'P61626']
HS11, w_Imputation, 15, ['P02792', 'P61626', 'P04275', 'P12821', 'P02675', 'P01024', 'P02649', 'P04114', 'P02741', 'P02647', 'P68871', 'P01008', 'P00450', 'P02766', 'P06702']
